"block","trt","y","plot","mu","trt_mean","trt_effect","error_effect","trt_bar_min","trt_bar_max","err_bar_min","err_bar_max"
1,"new",291.1,1,312.3,339.1,26.8,-48,312.3,339.1,-48,0
1,"old",223.9,2,312.3,285.5,-26.8,-61.6,-26.8,0,-88.4,-26.8
2,"new",321.4,3,312.3,339.1,26.8,-17.7,312.3,339.1,-17.7,0
2,"old",249.9,4,312.3,285.5,-26.8,-35.6,-26.8,0,-62.4,-26.8
3,"new",399.3,5,312.3,339.1,26.8,60.2,312.3,339.1,339.1,399.3
3,"old",330.8,6,312.3,285.5,-26.8,45.3,-26.8,0,312.3,357.6
4,"new",362.6,7,312.3,339.1,26.8,23.5,312.3,339.1,339.1,362.6
4,"old",349.8,8,312.3,285.5,-26.8,64.3,-26.8,0,312.3,376.6
5,"new",320.9,9,312.3,339.1,26.8,-18.2,312.3,339.1,-18.2,0
5,"old",272.9,10,312.3,285.5,-26.8,-12.6,-26.8,0,-39.4,-26.8
