desgnsuffix,chkey,chdesgnsfxkey
p,60807109,24782674
g,60807110,24782675
t,60807110,24782676
g,60807111,24782677
g,60807112,24782678
t,60807112,24782679
d,60807113,24782680
t,60807114,24782681
p,60807115,24782682
d,60807118,24782683
p,60807119,24782684
t,60807120,24782685
d,60807166,24782728
p,60807168,24782729
t,60807169,24782730
g,60807170,24782731
g,60807171,24782732
g,60807172,24782733
t,60807172,24782734
g,60807173,24782735
t,60807173,24782736
p,60807174,24782737
p,60807175,24782738
g,60807176,24782739
g,60807177,24782740
