unifiedcl,rvindicator,chkey,chunifiedkey
CL,Yes,60807109,113741946
CL,Yes,60807110,113741947
CH,No ,60807110,113741948
CL,Yes,60807111,113741949
CL,Yes,60807112,113741950
CH,No ,60807112,113741951
CL,Yes,60807113,113741952
CL,Yes,60807114,113741953
CH,No ,60807114,113741954
CL,Yes,60807115,113741955
CL-ML,No ,60807115,113741956
CL,Yes,60807116,113741957
CH,No ,60807116,113741958
CL,Yes,60807117,113741959
CH,No ,60807117,113741960
CL,Yes,60807118,113741961
CL,Yes,60807119,113741962
CL-ML,No ,60807119,113741963
CH,No ,60807120,113741964
CL,Yes,60807120,113741965
CL,Yes,60807166,113742044
CL,Yes,60807167,113742045
CH,No ,60807167,113742046
CL,Yes,60807168,113742047
CL-ML,No ,60807168,113742048
CL,Yes,60807169,113742049
CH,No ,60807169,113742050
CL,Yes,60807170,113742051
CL,Yes,60807171,113742052
CL,Yes,60807172,113742053
CH,No ,60807172,113742054
CL,Yes,60807173,113742055
CH,No ,60807173,113742056
CL,Yes,60807174,113742057
CH,Yes,60807175,113742058
CL,No ,60807175,113742059
CH,Yes,60807176,113742060
CH,Yes,60807177,113742061
CL,No ,60807177,113742062
CH,No ,60807178,113742063
CL,Yes,60807178,113742064
