geomposmntn,geomposhill,geompostrce,geomposflats,cogeomdkey,cosurfmorgckey
NA,Base Slope,,,31877677,12051077
NA,Base Slope,,,31877678,12051078
NA,Interfluve,,,31877680,12051079
NA,Interfluve,,,31877681,12051080
NA,Side Slope,,,31877683,12051081
NA,Nose Slope,,,31877683,12051082
NA,Nose Slope,,,31877684,12051083
NA,Side Slope,,,31877684,12051084
NA,Interfluve,,,31877719,12051112
NA,Interfluve,,,31877720,12051113
NA,Interfluve,,,31877722,12051114
NA,Base Slope,,,31877724,12051115
NA,Base Slope,,,31877725,12051116
NA,Base Slope,,,31877726,12051117
NA,Base Slope,,,31877727,12051118
NA,Base Slope,,,31877728,12051119
