plantsym,plantsciname,plantcomname,cokey,cotreestomngkey
CALA21,Carya laciniosa,shellbark hickory,20682944,35211903
PLOC,Platanus occidentalis,American sycamore,20682944,35212043
TADI2,Taxodium distichum,baldcypress,20682944,35212265
QUSH,Quercus shumardii,Shumard's oak,20682944,35212322
QUBI,Quercus bicolor,swamp white oak,20682944,35212385
ACSA2,Acer saccharinum,silver maple,20682944,35212453
QUMA2,Quercus macrocarpa,bur oak,20682944,35212540
NYSY,Nyssa sylvatica,blackgum,20682944,35212610
BENI,Betula nigra,river birch,20682944,35212733
QUPA2,Quercus palustris,pin oak,20682944,35212776
THOC2,Thuja occidentalis,northern white-cedar,20682944,35212942
CAIL2,Carya illinoinensis,pecan,20682944,35212981
PODE3,Populus deltoides,eastern cottonwood,20682945,35211858
QURU,Quercus rubra,northern red oak,20682945,35211938
PISY,Pinus sylvestris,Scotch pine,20682945,35211964
PIAB,Picea abies,Norway spruce,20682945,35212000
PLOC,Platanus occidentalis,American sycamore,20682945,35212044
QUIM,Quercus imbricaria,Shingle oak,20682945,35212099
QUVE,Quercus velutina,black oak,20682945,35212126
FRPE,Fraxinus pennsylvanica,green ash,20682945,35212158
ACRU,Acer rubrum,red maple,20682945,35212200
TADI2,Taxodium distichum,baldcypress,20682945,35212266
QUSH,Quercus shumardii,Shumard's oak,20682945,35212323
QUBI,Quercus bicolor,swamp white oak,20682945,35212386
PINI,Pinus nigra,Austrian pine,20682945,35212420
ACSA2,Acer saccharinum,silver maple,20682945,35212454
PIRE,Pinus resinosa,red pine,20682945,35212502
QUMA2,Quercus macrocarpa,bur oak,20682945,35212541
JUVI,Juniperus virginiana,eastern redcedar,20682945,35212577
PIST,Pinus strobus,eastern white pine,20682945,35212666
QUPA2,Quercus palustris,pin oak,20682945,35212777
ACSA3,Acer saccharum,sugar maple,20682945,35212877
GYDI,Gymnocladus dioicus,Kentucky coffeetree,20682945,35212896
THOC2,Thuja occidentalis,northern white-cedar,20682945,35212943
FAGR,Fagus grandifolia,American beech,20682945,35213009
CACO15,Carya cordiformis,bitternut hickory,20682945,35213036
QUAL,Quercus alba,white oak,20682945,35213063
LITU,Liriodendron tulipifera,tuliptree,20682945,35213104
PODE3,Populus deltoides,eastern cottonwood,20682960,35211850
CALA21,Carya laciniosa,shellbark hickory,20682960,35211901
LALA,Larix laricina,tamarack,20682960,35211969
PIAB,Picea abies,Norway spruce,20682960,35211992
PLOC,Platanus occidentalis,American sycamore,20682960,35212039
PIGL,Picea glauca,white spruce,20682960,35212117
FRPE,Fraxinus pennsylvanica,green ash,20682960,35212148
ACRU,Acer rubrum,red maple,20682960,35212190
TADI2,Taxodium distichum,baldcypress,20682960,35212249
QUSH,Quercus shumardii,Shumard's oak,20682960,35212314
QUBI,Quercus bicolor,swamp white oak,20682960,35212381
ACSA2,Acer saccharinum,silver maple,20682960,35212449
QUMA2,Quercus macrocarpa,bur oak,20682960,35212536
SANI,Salix nigra,black willow,20682960,35212570
NYSY,Nyssa sylvatica,blackgum,20682960,35212602
PIMA,Picea mariana,black spruce,20682960,35212617
FRAM2,Fraxinus americana,white ash,20682960,35212629
PIST,Pinus strobus,eastern white pine,20682960,35212664
BENI,Betula nigra,river birch,20682960,35212725
QUPA2,Quercus palustris,pin oak,20682960,35212772
LIST2,Liquidambar styraciflua,sweetgum,20682960,35212848
THOC2,Thuja occidentalis,northern white-cedar,20682960,35212938
CAIL2,Carya illinoinensis,pecan,20682960,35212985
